data,IPCA,Spread_do_Crédito,Taxa_de_Inadimplência,Taxa_de_juros,Taxa_Selic,Taxa_Desemprego,juro_real,pressao_financeira,Spread_Selic,inadimplência_zscore
01/2020,0.21,18.45,3.0,4.4,4.5,11.3,4.29,2.84,4.1,-0.13
02/2020,0.25,18.65,3.04,4.19,4.29,11.7,4.04,3.26,4.34,-0.06
03/2020,0.07,18.06,3.18,3.95,4.04,12.4,3.97,0.9,4.47,0.18
04/2020,-0.31,17.08,3.29,3.65,3.75,12.7,4.06,-3.82,4.55,0.36
05/2020,-0.38,16.53,3.24,3.01,3.15,13.1,3.53,-3.87,5.26,0.28
06/2020,0.26,15.45,2.89,2.58,2.68,13.6,2.42,2.01,5.78,-0.31
07/2020,0.36,15.26,2.76,2.15,2.25,14.1,1.89,2.24,6.78,-0.53
08/2020,0.24,14.81,2.65,1.94,2.04,14.8,1.8,1.3,7.26,-0.72
09/2020,0.64,14.14,2.43,1.9,2.0,14.9,1.36,3.11,7.07,-1.09
10/2020,0.86,14.4,2.35,1.9,2.0,14.6,1.14,4.04,7.2,-1.22
11/2020,0.89,14.13,2.23,1.9,2.0,14.3,1.11,3.97,7.06,-1.42
12/2020,1.35,14.29,2.11,1.9,2.0,14.2,0.65,5.7,7.14,-1.62
01/2021,0.25,15.58,2.14,1.9,2.0,14.4,1.75,1.07,7.79,-1.57
02/2021,0.86,15.38,2.23,1.9,2.0,14.6,1.14,3.84,7.69,-1.42
03/2021,0.93,14.89,2.13,2.23,2.34,14.9,1.41,4.63,6.37,-1.59
04/2021,0.31,14.96,2.19,2.65,2.75,14.8,2.44,1.87,5.44,-1.49
05/2021,0.83,14.42,2.33,3.29,3.38,14.7,2.55,6.53,4.27,-1.25
06/2021,0.53,14.34,2.27,3.76,3.85,14.2,3.32,4.63,3.72,-1.36
07/2021,0.96,14.49,2.31,4.15,4.25,13.7,3.29,9.42,3.41,-1.29
08/2021,0.87,14.35,2.31,5.01,5.12,13.2,4.25,10.29,2.8,-1.29
09/2021,1.16,14.34,2.28,5.43,5.52,12.7,4.36,14.59,2.6,-1.34
10/2021,1.25,15.07,2.28,6.3,6.44,12.1,5.19,18.36,2.34,-1.34
11/2021,0.95,15.25,2.31,7.65,7.75,11.6,6.8,17.01,1.97,-1.29
12/2021,0.73,15.7,2.3,8.76,8.86,11.1,8.13,14.88,1.77,-1.3
01/2022,0.54,16.21,2.45,9.15,9.25,11.2,8.71,12.24,1.75,-1.05
02/2022,1.01,16.76,2.51,10.49,10.64,11.2,9.63,26.98,1.57,-0.95
03/2022,1.62,16.94,2.59,11.15,11.23,11.1,9.61,47.14,1.51,-0.82
04/2022,1.06,17.24,2.66,11.65,11.75,10.5,10.69,33.13,1.47,-0.7
05/2022,0.47,17.09,2.72,12.51,12.62,9.8,12.15,16.13,1.35,-0.6
06/2022,0.67,17.51,2.66,12.89,13.0,9.3,12.33,23.17,1.35,-0.7
07/2022,-0.68,18.39,2.77,13.15,13.25,9.1,13.93,-24.96,1.39,-0.51
08/2022,-0.36,18.57,2.83,13.58,13.7,8.9,14.06,-13.96,1.36,-0.41
09/2022,-0.29,18.74,2.85,13.65,13.75,8.7,14.04,-11.36,1.36,-0.38
10/2022,0.59,19.9,2.96,13.65,13.75,8.3,13.16,24.01,1.45,-0.19
11/2022,0.41,19.84,2.99,13.65,13.75,8.1,13.34,16.86,1.44,-0.14
12/2022,0.62,18.85,2.99,13.65,13.75,7.9,13.13,25.49,1.37,-0.14
01/2023,0.53,19.79,3.15,13.65,13.75,8.4,13.22,22.96,1.44,0.13
02/2023,0.84,20.19,3.27,13.65,13.75,8.6,12.91,37.77,1.47,0.33
03/2023,0.71,20.3,3.26,13.65,13.75,8.8,13.04,31.83,1.48,0.31
04/2023,0.61,21.29,3.45,13.65,13.75,8.5,13.14,28.94,1.55,0.63
05/2023,0.23,21.42,3.55,13.65,13.75,8.3,13.52,11.23,1.56,0.8
06/2023,-0.08,21.16,3.51,13.65,13.75,8.0,13.83,-3.86,1.54,0.73
07/2023,0.12,20.94,3.54,13.65,13.75,7.9,13.63,5.84,1.52,0.78
08/2023,0.23,20.59,3.51,13.19,13.28,7.8,13.05,10.72,1.55,0.73
09/2023,0.26,20.36,3.44,12.97,13.08,7.7,12.82,11.7,1.56,0.61
10/2023,0.24,19.91,3.46,12.65,12.75,7.6,12.51,10.59,1.56,0.65
11/2023,0.28,19.94,3.43,12.17,12.27,7.5,11.99,11.78,1.63,0.6
12/2023,0.56,19.45,3.18,11.87,11.96,7.4,11.4,21.3,1.63,0.18
01/2024,0.42,19.27,3.26,11.65,11.75,7.6,11.33,16.09,1.64,0.31
02/2024,0.83,19.28,3.26,11.15,11.25,7.8,10.42,30.44,1.71,0.31
03/2024,0.16,19.33,3.2,11.0,11.07,7.9,10.91,5.67,1.75,0.21
04/2024,0.38,19.06,3.24,10.65,10.75,7.5,10.37,13.24,1.77,0.28
05/2024,0.46,18.79,3.26,10.46,10.56,7.1,10.1,15.84,1.78,0.31
06/2024,0.21,18.54,3.17,10.4,10.5,6.9,10.29,6.99,1.77,0.16
07/2024,0.38,18.53,3.17,10.4,10.5,6.8,10.12,12.65,1.76,0.16
08/2024,-0.02,18.46,3.21,10.4,10.5,6.6,10.52,-0.67,1.76,0.23
09/2024,0.44,18.27,3.22,10.5,10.6,6.4,10.16,15.02,1.72,0.24
10/2024,0.56,18.27,3.17,10.65,10.75,6.2,10.19,19.08,1.7,0.16
11/2024,0.39,18.42,3.14,11.04,11.15,6.1,10.76,13.65,1.65,0.11
12/2024,0.52,17.52,2.95,11.77,11.9,6.2,11.38,18.25,1.47,-0.21
01/2025,0.16,18.38,3.19,12.24,12.31,6.5,12.15,6.29,1.49,0.19
02/2025,1.31,19.31,3.26,13.15,13.25,6.8,11.94,56.59,1.46,0.31
03/2025,0.56,19.37,3.28,13.57,13.64,7.0,13.08,25.05,1.42,0.34
04/2025,0.43,19.98,3.5,14.15,14.25,6.6,13.82,21.45,1.4,0.71
05/2025,0.26,20.4,3.54,14.55,14.64,6.2,14.38,13.47,1.39,0.78
06/2025,0.24,20.6,3.57,14.74,14.85,5.8,14.61,12.72,1.39,0.83
07/2025,0.26,20.4,3.77,14.9,15.0,5.6,14.74,14.7,1.36,1.17
08/2025,-0.11,20.61,3.95,14.9,15.0,5.6,15.11,-6.52,1.37,1.47
09/2025,0.48,20.37,3.91,14.9,15.0,5.6,14.52,28.15,1.36,1.4
10/2025,0.09,20.75,4.0,14.9,15.0,5.4,14.91,5.4,1.38,1.56
11/2025,0.18,21.45,4.05,14.9,15.0,5.2,14.82,10.93,1.43,1.64
12/2025,0.33,21.11,4.02,14.9,15.0,5.1,14.67,19.9,1.41,1.59
01/2026,0.33,21.76,4.26,14.9,15.0,5.4,14.67,21.09,1.45,1.99
02/2026,0.7,22.11,4.44,14.9,15.0,5.8,14.3,46.62,1.47,2.3
03/2026,0.88,21.92,4.33,14.8,14.9,6.1,14.02,56.76,1.47,2.11
04/2026,0.67,22.6,4.44,14.64,14.74,5.8,14.07,43.85,1.53,2.3
05/2026,,,,14.4,14.5,,,,,
